Directory,Count
"editors",4900
"blenkernel",3537
"blenlib",2992
"nodes",2866
"gpu",1607
"io",1313
"modifiers",791
"draw",772
"makesrna",649
"geometry",416
"asset_system",367
"functions",330
"compositor",322
"windowmanager",251
"imbuf",232
"freestyle",201
"bmesh",193
"blenloader",178
"depsgraph",177
"sequencer",175
"animrig",152
"python",149
"render",128
"blentranslation",91
"blenfont",67
"makesdna",55
"shader_fx",37
"simulation",18
"blendthumb",18
"ikplugin",15
"blenloader_core",6
"datatoc",5
"cpucheck",2
