Header,TotalUsage,ComponentCount
<optional>,5647,5
<string>,5353,13
<algorithm>,2835,43
<memory>,2698,14
<utility>,2207,10
<iostream>,774,2
<ostream>,654,2
<array>,653,1
<type_traits>,601,53
<mutex>,384,5
<vector>,346,7
<variant>,319,5
<sstream>,300,3
<tuple>,290,5
<limits>,246,1
<cmath>,246,31
<atomic>,232,8
<functional>,192,11
<ios>,120,20
<cstdlib>,104,5
<string_view>,103,2
<cstddef>,100,4
<iterator>,89,13
<complex>,88,5
<chrono>,48,14
<filesystem>,42,8
<fstream>,38,6
<numeric>,37,6
<cstring>,36,8
<system_error>,35,6
<stdexcept>,33,3
<unordered_set>,33,5
<map>,31,2
<unordered_map>,31,7
<iomanip>,30,3
<regex>,26,6
<queue>,23,2
<unknown>,23,7
<deque>,22,1
<set>,18,2
<thread>,18,5
<list>,16,1
<initializer_list>,16,1
<cctype>,16,6
<exception>,13,2
<charconv>,13,2
<random>,12,7
<istream>,11,1
<span>,8,1
<ctime>,8,4
<bitset>,7,1
<condition_variable>,7,2
<cstdio>,7,4
<typeinfo>,5,2
<stack>,4,2
<bit>,4,3
<forward_list>,3,1
<new>,2,1
<locale>,2,1
<any>,2,1
