Category,Count
"std::string",5121
"std::optional",3220
"std::algorithms",2973
"std::nullopt",2383
"std::move",1705
"std::memory",1427
"std::unique_ptr",1353
"std::cout",690
"std::array",653
"std::type_traits",612
"std::endl",356
"std::vector",346
"std::math",339
"std::shared_ptr",334
"std::ostream",298
"std::pair",294
"std::stringstream",265
"std::numeric_limits",246
"std::string_conversion",208
"std::lock_guard",167
"std::utility",162
"std::scoped_lock",138
"std::atomic",137
"std::function",129
"std::string_view",103
"std::ios",87
"std::cerr",84
"std::memory_order_relaxed",77
"std::complex",76
"std::variant",75
"std::byte",61
"std::io_manipulators",56
"std::c_compat",53
"std::iterator",48
"std::unique_lock",42
"std::functional",41
"std::mutex",33
"std::unordered_set",33
"std::unordered_map",31
"std::tuple",30
"std::runtime_error",30
"std::map",30
"std::make_optional",27
"std::make_pair",25
"std::chrono::duration",25
"std::reverse_iterator",24
"std::deque",22
"std::size_t",21
"std::ofstream",21
"std::queue",20
"std::errc",19
"std::istringstream",18
"std::ostringstream",17
"std::wstring",16
"std::make_tuple",16
"std::list",16
"std::initializer_list",16
"std::ctype",16
"std::in_place_type",15
"std::chrono::clock",15
"std::ptrdiff_t",14
"std::regex",12
"std::exception",12
"std::istream",11
"std::set",10
"std::system_error",9
"std::fstream",9
"std::thread",9
"std::span",8
"std::multiset",8
"std::ifstream",8
"std::derived_from",8
"std::this_thread::get_id",7
"std::regex_replace",7
"std::memory_order_acquire",7
"std::from_chars",7
"std::forward_iterator_tag",7
"std::bitset",7
"std::weak_ptr",6
"std::polar",6
"std::from_chars_result",6
"std::filesystem::path",6
"std::back_inserter",6
"std::tie",5
"std::streamsize",5
"std::plus",5
"std::mt19937",5
"std::condition_variable",5
"std::system_category",4
"std::string_literals",4
"std::recursive_mutex",4
"std::nullptr_t",4
"std::memory_order_release",4
"std::logical_or",4
"std::greater",4
"std::getline",4
"std::erase_if",4
"std::arg",4
"std::stack",4
"std::mt19937_64",4
"std::filesystem",4
"std::regex_search",3
"std::priority_queue",3
"std::memory_order_acq_rel",3
"std::hash",3
"std::forward_list",3
"std::error_code",3
"std::chrono::time_point",3
"std::chrono::duration_cast",3
"std::char_traits",3
"std::bad_cast",3
"std::type_info",2
"std::tm",2
"std::time_t",2
"std::streamoff",2
"std::nothrow",2
"std::locale",2
"std::less",2
"std::invalid_argument",2
"std::in_place_type_t",2
"std::greater_equal",2
"std::fmaxf",2
"std::condition_variable_any",2
"std::cmatch",2
"std::chrono",2
"std::bit_cast",2
"std::bidirectional_iterator_tag",2
"std::atomic_bool",2
"std::any",2
"std::uniform_int_distribution",1
"std::this_thread::yield",1
"std::this_thread::sleep_for",1
"std::terminate",1
"std::strings",1
"std::string_view:",1
"std::smatch",1
"std::roundf",1
"std::rotl",1
"std::regex_match",1
"std::random_device",1
"std::random_access_iterator_tag",1
"std::out_of_range",1
"std::norm",1
"std::noopt",1
"std::nexttowardf",1
"std::multi_map",1
"std::logical_and",1
"std::is_layout_compatible",1
"std::is_bounded_array_v",1
"std::integer_sequence",1
"std::input_iterator_tag",1
"std::has_unique_object_representations_v",1
"std::fminf",1
"std::filesystem::recursive_directory_iterator",1
"std::filesystem::directory_iterator",1
"std::equal_to",1
"std::endian::native",1
"std::default_random_engine",1
"std::conj",1
"std::atomic_thread_fence",1
"std::atomic_size_t",1
"std::allocator",1
